year,age,sex,lfp
1961,44,Male,.67714006
1962,44,Male,.60929859
1963,44,Male,.9174937
1964,44,Male,.91800123
1965,44,Male,.96008927
1966,44,Male,.96658337
1967,44,Male,.9629584
1968,44,Male,.95249861
1969,44,Male,.97349638
1970,44,Male,.9571076
1971,44,Male,.95000887
1972,44,Male,.94385272
1973,44,Male,.9458701
1974,44,Male,.92853606
1975,44,Male,.93752354
1976,44,Male,.92758626
1977,44,Male,.92916441
1978,44,Male,.92161649
1979,44,Male,.9491961
1980,44,Male,.94403028
1981,44,Male,.92908156
1982,44,Male,.9139272
1983,44,Male,.92459345
1984,44,Male,.92227417
1985,44,Male,.93432158
1986,44,Male,.94658554
1987,44,Male,.93805343
1988,44,Male,.92441088
1989,44,Male,.94711441
1990,44,Male,.93572146
1991,44,Male,.93569249
1992,44,Male,.92655724
1993,44,Male,.91763604
1994,44,Male,.92905605
1995,44,Male,.89618355
1996,44,Male,.92054302
1997,44,Male,.9265151
1998,44,Male,.93444389
1999,44,Male,.89567024
2000,44,Male,.90694344
2001,44,Male,.91289282
2002,44,Male,.8993206
2003,44,Male,.8908999
2004,44,Male,.90418762
2005,44,Male,.90112072
2006,44,Male,.8977201
2007,44,Male,.90881151
2008,44,Male,.87865293
2009,44,Male,.88668019
2010,44,Male,.8800658
2011,44,Male,.87219816
2012,44,Male,.88843709
2013,44,Male,.89851671
2014,44,Male,.87907106
2015,44,Male,.88653964
2016,44,Male,.86495757
1961,44,Female,.41810653
1962,44,Female,.41668403
1963,44,Female,.55761927
1964,44,Female,.5431397
1965,44,Female,.56040901
1966,44,Female,.53651655
1967,44,Female,.58754152
1968,44,Female,.61315626
1969,44,Female,.60375983
1970,44,Female,.62325919
1971,44,Female,.60006362
1972,44,Female,.59160519
1973,44,Female,.57614809
1974,44,Female,.62817353
1975,44,Female,.60669786
1976,44,Female,.66053367
1977,44,Female,.64595121
1978,44,Female,.66269064
1979,44,Female,.7388218
1980,44,Female,.69144636
1981,44,Female,.72742498
1982,44,Female,.69054073
1983,44,Female,.70461267
1984,44,Female,.74547178
1985,44,Female,.75186086
1986,44,Female,.77187467
1987,44,Female,.78449899
1988,44,Female,.78790182
1989,44,Female,.74295658
1990,44,Female,.78858346
1991,44,Female,.79453862
1992,44,Female,.80186713
1993,44,Female,.79105288
1994,44,Female,.80268103
1995,44,Female,.80504012
1996,44,Female,.7934854
1997,44,Female,.81857812
1998,44,Female,.79029834
1999,44,Female,.80459666
2000,44,Female,.80870062
2001,44,Female,.797934
2002,44,Female,.82481229
2003,44,Female,.80321544
2004,44,Female,.78662378
2005,44,Female,.7938441
2006,44,Female,.78969729
2007,44,Female,.79419029
2008,44,Female,.78178406
2009,44,Female,.78454238
2010,44,Female,.77960485
2011,44,Female,.767887
2012,44,Female,.75106001
2013,44,Female,.76288527
2014,44,Female,.77176195
2015,44,Female,.7679109
2016,44,Female,.76776904
1961,45,Male,.6912576
1962,45,Male,.60937804
1963,45,Male,.93572611
1964,45,Male,.92668098
1965,45,Male,.96496403
1966,45,Male,.9786998
1967,45,Male,.95899194
1968,45,Male,.95782316
1969,45,Male,.95284402
1970,45,Male,.96586084
1971,45,Male,.94915748
1972,45,Male,.9549588
1973,45,Male,.95381343
1974,45,Male,.95068979
1975,45,Male,.92511249
1976,45,Male,.94072378
1977,45,Male,.92158699
1978,45,Male,.9325648
1979,45,Male,.93557018
1980,45,Male,.9410032
1981,45,Male,.94232208
1982,45,Male,.9220081
1983,45,Male,.92856729
1984,45,Male,.91979814
1985,45,Male,.93855935
1986,45,Male,.93291408
1987,45,Male,.93441206
1988,45,Male,.92534775
1989,45,Male,.92717785
1990,45,Male,.93575996
