year,age,sex,lfp
1991,45,Male,.91786504
1992,45,Male,.90528357
1993,45,Male,.91118145
1994,45,Male,.92913836
1995,45,Male,.92809319
1996,45,Male,.90424258
1997,45,Male,.91705734
1998,45,Male,.91417783
1999,45,Male,.93390781
2000,45,Male,.92356306
2001,45,Male,.90557337
2002,45,Male,.89532089
2003,45,Male,.89652705
2004,45,Male,.88555974
2005,45,Male,.91440785
2006,45,Male,.88687015
2007,45,Male,.88324136
2008,45,Male,.86549008
2009,45,Male,.86763531
2010,45,Male,.84576356
2011,45,Male,.86766177
2012,45,Male,.87743223
2013,45,Male,.88101441
2014,45,Male,.88382638
2015,45,Male,.86708719
2016,45,Male,.89537549
1961,45,Female,.43476224
1962,45,Female,.38366702
1963,45,Female,.60214251
1964,45,Female,.56748939
1965,45,Female,.59066552
1966,45,Female,.59776992
1967,45,Female,.5704509
1968,45,Female,.62516248
1969,45,Female,.60463566
1970,45,Female,.63974708
1971,45,Female,.61448169
1972,45,Female,.59809369
1973,45,Female,.60721773
1974,45,Female,.60241139
1975,45,Female,.59739989
1976,45,Female,.62061656
1977,45,Female,.66685003
1978,45,Female,.65610957
1979,45,Female,.69436604
1980,45,Female,.72119582
1981,45,Female,.72833014
1982,45,Female,.69657606
1983,45,Female,.7015925
1984,45,Female,.74912161
1985,45,Female,.74435419
1986,45,Female,.75494492
1987,45,Female,.76755983
1988,45,Female,.78437442
1989,45,Female,.78989702
1990,45,Female,.77671891
1991,45,Female,.76590556
1992,45,Female,.78245825
1993,45,Female,.79407179
1994,45,Female,.80978405
1995,45,Female,.81212342
1996,45,Female,.81903541
1997,45,Female,.82416517
1998,45,Female,.82107693
1999,45,Female,.82356477
2000,45,Female,.81290257
2001,45,Female,.78408945
2002,45,Female,.80996668
2003,45,Female,.80463827
2004,45,Female,.80780554
2005,45,Female,.77606934
2006,45,Female,.79130566
2007,45,Female,.78687662
2008,45,Female,.78329837
2009,45,Female,.77713919
2010,45,Female,.74208158
2011,45,Female,.75378859
2012,45,Female,.7627359
2013,45,Female,.74506992
2014,45,Female,.76246679
2015,45,Female,.76891631
2016,45,Female,.77558774
1961,46,Male,.65896213
1962,46,Male,.59011036
1963,46,Male,.93666363
1964,46,Male,.92996389
1965,46,Male,.96481168
1966,46,Male,.96183372
1967,46,Male,.95709932
1968,46,Male,.97106355
1969,46,Male,.95640588
1970,46,Male,.95582807
1971,46,Male,.94362891
1972,46,Male,.95621157
1973,46,Male,.96018529
1974,46,Male,.95621532
1975,46,Male,.93923336
1976,46,Male,.92428213
1977,46,Male,.93620491
1978,46,Male,.94548267
1979,46,Male,.93292367
1980,46,Male,.92398846
1981,46,Male,.91830397
1982,46,Male,.94042957
1983,46,Male,.92782897
1984,46,Male,.90742272
1985,46,Male,.9347437
1986,46,Male,.92601627
1987,46,Male,.90897942
1988,46,Male,.93676311
1989,46,Male,.94113404
1990,46,Male,.913118
1991,46,Male,.92511499
1992,46,Male,.8818773
1993,46,Male,.89282709
1994,46,Male,.90930909
1995,46,Male,.91729146
1996,46,Male,.91696942
1997,46,Male,.92031175
1998,46,Male,.91429746
1999,46,Male,.89124787
2000,46,Male,.90835482
2001,46,Male,.91403836
2002,46,Male,.90133774
2003,46,Male,.89473778
2004,46,Male,.89156955
2005,46,Male,.90091628
2006,46,Male,.89550489
2007,46,Male,.8980912
2008,46,Male,.87402195
2009,46,Male,.85303938
2010,46,Male,.85829091
2011,46,Male,.85232443
2012,46,Male,.86492234
2013,46,Male,.86940366
2014,46,Male,.8669498
2015,46,Male,.87224674
2016,46,Male,.8842141
1961,46,Female,.41637394
1962,46,Female,.39573419
1963,46,Female,.54510272
1964,46,Female,.57072884
1965,46,Female,.60221887
1966,46,Female,.59449947
1967,46,Female,.6123451
1968,46,Female,.60913521
1969,46,Female,.61901468
1970,46,Female,.61914015
1971,46,Female,.59761125
1972,46,Female,.59764349
1973,46,Female,.62782019
1974,46,Female,.62201416
1975,46,Female,.60727119
1976,46,Female,.60757655
1977,46,Female,.65461069
1978,46,Female,.65050137
1979,46,Female,.66554445
1980,46,Female,.69737917
1981,46,Female,.71988732
1982,46,Female,.67424762
1983,46,Female,.69972593
1984,46,Female,.72690028
1985,46,Female,.7242412
1986,46,Female,.71913272
1987,46,Female,.76889557
1988,46,Female,.73521441
1989,46,Female,.80353934
1990,46,Female,.79059494
1991,46,Female,.80544829
1992,46,Female,.78217506
1993,46,Female,.80895001
1994,46,Female,.81938815
1995,46,Female,.81784499
1996,46,Female,.79467231
1997,46,Female,.79269755
1998,46,Female,.82941365
1999,46,Female,.80563295
2000,46,Female,.81631905
2001,46,Female,.80931723
2002,46,Female,.80576551
2003,46,Female,.79139984
2004,46,Female,.78249997
2005,46,Female,.79126221
2006,46,Female,.7904281
2007,46,Female,.76396006
2008,46,Female,.80809087
2009,46,Female,.75949109
2010,46,Female,.76263177
2011,46,Female,.73291677
2012,46,Female,.76812214
2013,46,Female,.76887262
2014,46,Female,.73131251
2015,46,Female,.77033997
2016,46,Female,.75217259
1961,47,Male,.67474061
1962,47,Male,.61139399
1963,47,Male,.91334945
1964,47,Male,.91079611
1965,47,Male,.95829344
1966,47,Male,.97100139
1967,47,Male,.96196967
1968,47,Male,.94663602
1969,47,Male,.95209426
1970,47,Male,.94649673
1971,47,Male,.95232928
1972,47,Male,.9536221
1973,47,Male,.94358468
1974,47,Male,.94405812
1975,47,Male,.92096519
1976,47,Male,.9402675
1977,47,Male,.93133575
1978,47,Male,.94633663
1979,47,Male,.94720411
1980,47,Male,.93996006
1981,47,Male,.92158651
1982,47,Male,.92604029
1983,47,Male,.90470493
1984,47,Male,.91490597
1985,47,Male,.90960163
1986,47,Male,.94314826
1987,47,Male,.93177611
1988,47,Male,.91452307
1989,47,Male,.93013573
1990,47,Male,.92486864
1991,47,Male,.94087791
1992,47,Male,.91555691
1993,47,Male,.89220047
1994,47,Male,.90751576
1995,47,Male,.90317452
1996,47,Male,.91040885
1997,47,Male,.91457897
1998,47,Male,.90474224
1999,47,Male,.91676873
2000,47,Male,.90099663
2001,47,Male,.90374327
2002,47,Male,.91268289
2003,47,Male,.89082634
2004,47,Male,.88302141
2005,47,Male,.89545941
2006,47,Male,.88348764
2007,47,Male,.88944989
2008,47,Male,.880647
2009,47,Male,.86673677
2010,47,Male,.86138898
2011,47,Male,.8501277
2012,47,Male,.85988039
2013,47,Male,.86961663
2014,47,Male,.8646456
2015,47,Male,.88189083
2016,47,Male,.88770032
1961,47,Female,.405772
1962,47,Female,.38658428
1963,47,Female,.55692625
1964,47,Female,.52472758
1965,47,Female,.58984941
1966,47,Female,.58593643
1967,47,Female,.62037158
1968,47,Female,.60669971
1969,47,Female,.6182574
1970,47,Female,.61210865
1971,47,Female,.61309397
1972,47,Female,.60829371
1973,47,Female,.61465532
1974,47,Female,.60896522
1975,47,Female,.59949243
1976,47,Female,.64399421
1977,47,Female,.62633288
1978,47,Female,.67327988
1979,47,Female,.64983588
1980,47,Female,.68849367
1981,47,Female,.65178776
1982,47,Female,.66450012
1983,47,Female,.68233037
1984,47,Female,.71358812
1985,47,Female,.71195525
1986,47,Female,.74228644
1987,47,Female,.71973163
1988,47,Female,.7505759
1989,47,Female,.75634259
1990,47,Female,.79726964
1991,47,Female,.76953304
1992,47,Female,.76001012
1993,47,Female,.792238
1994,47,Female,.79312909
1995,47,Female,.77593386
1996,47,Female,.80988151
1997,47,Female,.77818215
1998,47,Female,.80245513
1999,47,Female,.82250017
2000,47,Female,.81642962
2001,47,Female,.78722918
2002,47,Female,.80810761
2003,47,Female,.77953798
2004,47,Female,.78845304
2005,47,Female,.78322166
2006,47,Female,.79159355
2007,47,Female,.78633702
2008,47,Female,.77779788
2009,47,Female,.7807191
2010,47,Female,.75153005
2011,47,Female,.73785859
2012,47,Female,.73843294
2013,47,Female,.74992132
2014,47,Female,.75978982
2015,47,Female,.74328393
2016,47,Female,.75353998
1961,48,Male,.68512046
1962,48,Male,.6598978
1963,48,Male,.90970522
1964,48,Male,.90669256
1965,48,Male,.96103036
1966,48,Male,.94959086
1967,48,Male,.96946859
1968,48,Male,.95993197
1969,48,Male,.96112227
1970,48,Male,.96302837
1971,48,Male,.95868331
1972,48,Male,.95328116
1973,48,Male,.94783103
1974,48,Male,.93066943
1975,48,Male,.92577702
1976,48,Male,.92339694
1977,48,Male,.92097849
1978,48,Male,.94114578
1979,48,Male,.93667799
1980,48,Male,.92459166
1981,48,Male,.91372263
1982,48,Male,.93876022
1983,48,Male,.9188599
1984,48,Male,.90793866
1985,48,Male,.91322935
1986,48,Male,.90821677
1987,48,Male,.92993331
1988,48,Male,.9077099
1989,48,Male,.91545129
1990,48,Male,.92422295
1991,48,Male,.90917152
1992,48,Male,.91288364
1993,48,Male,.88055527
1994,48,Male,.90034139
1995,48,Male,.90988266
1996,48,Male,.90605336
1997,48,Male,.90707207
1998,48,Male,.90688044
1999,48,Male,.90384632
2000,48,Male,.90610641
2001,48,Male,.90415722
2002,48,Male,.89837164
2003,48,Male,.89388621
2004,48,Male,.90609276
2005,48,Male,.88919622
2006,48,Male,.88808322
2007,48,Male,.88294637
2008,48,Male,.85114527
2009,48,Male,.83849984
2010,48,Male,.83485121
2011,48,Male,.8489328
2012,48,Male,.86659425
2013,48,Male,.82263362
2014,48,Male,.8542493
2015,48,Male,.86467344
2016,48,Male,.87575787
1961,48,Female,.39886141
1962,48,Female,.39429492
1963,48,Female,.51635277
1964,48,Female,.59498745
1965,48,Female,.58112901
1966,48,Female,.55682999
1967,48,Female,.57268345
1968,48,Female,.59579515
1969,48,Female,.6074515
1970,48,Female,.61372066
1971,48,Female,.58497673
1972,48,Female,.55758715
1973,48,Female,.62158936
1974,48,Female,.57420516
1975,48,Female,.61598593
1976,48,Female,.61093521
1977,48,Female,.63012636
1978,48,Female,.61175752
1979,48,Female,.65763867
1980,48,Female,.65270203
1981,48,Female,.67510355
1982,48,Female,.63976961
1983,48,Female,.64173865
1984,48,Female,.68162036
1985,48,Female,.7383945
1986,48,Female,.70903015
1987,48,Female,.72797841
1988,48,Female,.74686813
1989,48,Female,.7682398
1990,48,Female,.74036509
1991,48,Female,.77021146
1992,48,Female,.76501411
1993,48,Female,.76928681
1994,48,Female,.78397393
1995,48,Female,.78437263
1996,48,Female,.78343755
1997,48,Female,.7995078
1998,48,Female,.78489655
1999,48,Female,.82682866
2000,48,Female,.80539536
2001,48,Female,.7980358
2002,48,Female,.77654666
2003,48,Female,.79119056
2004,48,Female,.78822732
2005,48,Female,.80747229
2006,48,Female,.79947293
2007,48,Female,.78623384
2008,48,Female,.77631545
2009,48,Female,.75222749
2010,48,Female,.74157578
2011,48,Female,.73437607
2012,48,Female,.7366516
2013,48,Female,.72901708
2014,48,Female,.74043995
2015,48,Female,.74962699
2016,48,Female,.7698074
1961,49,Male,.69424689
1962,49,Male,.64710891
1963,49,Male,.92581463
1964,49,Male,.91476214
1965,49,Male,.95126903
1966,49,Male,.93918014
1967,49,Male,.94938445
1968,49,Male,.95892984
1969,49,Male,.96019489
1970,49,Male,.93867058
1971,49,Male,.95978487
1972,49,Male,.95390761
1973,49,Male,.92989224
1974,49,Male,.932486
1975,49,Male,.90805733
1976,49,Male,.91366965
1977,49,Male,.95464599
1978,49,Male,.92193574
1979,49,Male,.93043673
1980,49,Male,.90672064
1981,49,Male,.91341108
1982,49,Male,.89732581
1983,49,Male,.92229861
1984,49,Male,.93141824
1985,49,Male,.91754627
1986,49,Male,.91355771
1987,49,Male,.90185291
1988,49,Male,.91830456
1989,49,Male,.90803927
1990,49,Male,.90845162
1991,49,Male,.92416352
1992,49,Male,.90046829
1993,49,Male,.89107484
1994,49,Male,.88109225
1995,49,Male,.92656708
1996,49,Male,.89670807
1997,49,Male,.90981263
1998,49,Male,.90650266
1999,49,Male,.91528869
2000,49,Male,.89151347
2001,49,Male,.89429611
2002,49,Male,.88773787
2003,49,Male,.86045402
2004,49,Male,.86667562
2005,49,Male,.87995893
2006,49,Male,.87753278
2007,49,Male,.88014996
2008,49,Male,.85560799
2009,49,Male,.83664167
2010,49,Male,.85585183
2011,49,Male,.846268
2012,49,Male,.82179093
2013,49,Male,.82988226
2014,49,Male,.82650155
2015,49,Male,.88392115
2016,49,Male,.86079168
1961,49,Female,.41050729
1962,49,Female,.41977793
1963,49,Female,.56301266
1964,49,Female,.52918649
1965,49,Female,.59222937
1966,49,Female,.61267388
1967,49,Female,.59974742
1968,49,Female,.60212523
1969,49,Female,.61931723
1970,49,Female,.60160106
1971,49,Female,.62809253
1972,49,Female,.58005232
1973,49,Female,.60711479
1974,49,Female,.6078015
1975,49,Female,.60178041
1976,49,Female,.63532722
1977,49,Female,.63406283
1978,49,Female,.60830683
1979,49,Female,.64790893
1980,49,Female,.67580312
1981,49,Female,.63271403
1982,49,Female,.64007419
1983,49,Female,.67467785
1984,49,Female,.67693323
1985,49,Female,.6654368
1986,49,Female,.70915049
1987,49,Female,.69557565
1988,49,Female,.74774575
1989,49,Female,.69737768
1990,49,Female,.7211768
1991,49,Female,.72626144
1992,49,Female,.75188988
1993,49,Female,.7629056
1994,49,Female,.77130556
1995,49,Female,.78596693
1996,49,Female,.79249394
1997,49,Female,.78296274
1998,49,Female,.78792888
1999,49,Female,.81378853
2000,49,Female,.7790516
2001,49,Female,.79711187
2002,49,Female,.7846821
2003,49,Female,.78862065
2004,49,Female,.78384393
2005,49,Female,.7702353
2006,49,Female,.79640859
2007,49,Female,.75597161
2008,49,Female,.76696873
2009,49,Female,.75091523
2010,49,Female,.74429303
2011,49,Female,.74868804
2012,49,Female,.73900622
2013,49,Female,.73642689
2014,49,Female,.74463683
2015,49,Female,.72660476
2016,49,Female,.76104909
1961,50,Male,.66955787
1962,50,Male,.62658817
1963,50,Male,.91894859
1964,50,Male,.94055897
1965,50,Male,.95202476
1966,50,Male,.92938656
1967,50,Male,.95089179
1968,50,Male,.95695162
1969,50,Male,.94813287
1970,50,Male,.95379919
1971,50,Male,.94236541
1972,50,Male,.94946873
1973,50,Male,.93392295
1974,50,Male,.90765357
1975,50,Male,.91003805
1976,50,Male,.90688956
1977,50,Male,.91871572
1978,50,Male,.93758005
1979,50,Male,.90999591
1980,50,Male,.90289778
1981,50,Male,.89941335
1982,50,Male,.89156038
1983,50,Male,.88199764
1984,50,Male,.89206862
1985,50,Male,.90948588
1986,50,Male,.9044736
1987,50,Male,.90131938
1988,50,Male,.91846979
1989,50,Male,.93327636
1990,50,Male,.90633589
1991,50,Male,.9019528
1992,50,Male,.90497422
1993,50,Male,.88881648
1994,50,Male,.88420153
1995,50,Male,.86965567
1996,50,Male,.92291951
1997,50,Male,.90671259
1998,50,Male,.90309238
1999,50,Male,.89164281
2000,50,Male,.88448811
2001,50,Male,.87720364
2002,50,Male,.89873803
2003,50,Male,.8728739
2004,50,Male,.85387868
2005,50,Male,.87923884
2006,50,Male,.88276625
2007,50,Male,.88265067
2008,50,Male,.8701297
2009,50,Male,.81912738
2010,50,Male,.8510828
2011,50,Male,.84789252
2012,50,Male,.84176743
2013,50,Male,.83701903
2014,50,Male,.84083217
2015,50,Male,.83995289
2016,50,Male,.8525694
1961,50,Female,.4190627
1962,50,Female,.38804886
1963,50,Female,.57693219
1964,50,Female,.57990658
1965,50,Female,.55714655
1966,50,Female,.59043938
1967,50,Female,.59192103
1968,50,Female,.60030651
1969,50,Female,.59651637
1970,50,Female,.60736811
1971,50,Female,.58972156
1972,50,Female,.58567852
1973,50,Female,.59531158
1974,50,Female,.59096426
1975,50,Female,.57638264
1976,50,Female,.5732981
1977,50,Female,.61412585
1978,50,Female,.63718611
1979,50,Female,.63733184
1980,50,Female,.64805251
1981,50,Female,.62197876
1982,50,Female,.60731351
1983,50,Female,.68572134
1984,50,Female,.66793585
1985,50,Female,.69031763
1986,50,Female,.69427341
1987,50,Female,.68363047
1988,50,Female,.71784526
1989,50,Female,.75398153
1990,50,Female,.7434023
1991,50,Female,.72804296
1992,50,Female,.7292586
1993,50,Female,.72421348
1994,50,Female,.76781458
1995,50,Female,.75981802
1996,50,Female,.76803583
1997,50,Female,.78158849
1998,50,Female,.77637398
1999,50,Female,.82567161
2000,50,Female,.79537505
2001,50,Female,.78544658
2002,50,Female,.78786117
2003,50,Female,.79549623
2004,50,Female,.77420646
2005,50,Female,.77549559
2006,50,Female,.76995039
2007,50,Female,.7564376
2008,50,Female,.76523089
2009,50,Female,.76185864
2010,50,Female,.72105944
2011,50,Female,.73494786
2012,50,Female,.760975
2013,50,Female,.75406271
2014,50,Female,.71615207
2015,50,Female,.74538547
2016,50,Female,.74811202
1961,51,Male,.69487685
1962,51,Male,.57256854
1963,51,Male,.94198161
1964,51,Male,.90986323
1965,51,Male,.95487124
1966,51,Male,.94827241
1967,51,Male,.95966023
1968,51,Male,.9609077
1969,51,Male,.94382781
1970,51,Male,.95220053
1971,51,Male,.94360429
1972,51,Male,.93204117
1973,51,Male,.91874838
1974,51,Male,.92495126
1975,51,Male,.91373014
1976,51,Male,.89082223
1977,51,Male,.90038794
1978,51,Male,.91865784
1979,51,Male,.93226808
1980,51,Male,.90787309
1981,51,Male,.89070117
1982,51,Male,.90267587
1983,51,Male,.8766523
1984,51,Male,.88899589
1985,51,Male,.91389203
1986,51,Male,.91198897
1987,51,Male,.90179712
1988,51,Male,.90169841
1989,51,Male,.90716535
1990,51,Male,.90821141
1991,51,Male,.8731097
1992,51,Male,.88656408
1993,51,Male,.8878029
1994,51,Male,.8858605
1995,51,Male,.86371142
1996,51,Male,.87903464
1997,51,Male,.88063216
1998,51,Male,.88607156
1999,51,Male,.87432551
2000,51,Male,.88325596
2001,51,Male,.86508512
2002,51,Male,.86741251
2003,51,Male,.85739386
2004,51,Male,.8710897
2005,51,Male,.84208322
2006,51,Male,.87363482
2007,51,Male,.88861841
2008,51,Male,.84964418
2009,51,Male,.83869088
2010,51,Male,.81059796
2011,51,Male,.82567787
2012,51,Male,.83778042
2013,51,Male,.84874475
2014,51,Male,.84342253
2015,51,Male,.83794075
2016,51,Male,.83353943
1961,51,Female,.40572596
1962,51,Female,.38498086
1963,51,Female,.5337472
1964,51,Female,.55112338
1965,51,Female,.56545961
1966,51,Female,.56515032
1967,51,Female,.61660409
1968,51,Female,.60433012
1969,51,Female,.60309798
1970,51,Female,.58313257
1971,51,Female,.58655167
1972,51,Female,.56196129
1973,51,Female,.58060205
1974,51,Female,.59002435
1975,51,Female,.58302212
1976,51,Female,.56254518
1977,51,Female,.56668377
1978,51,Female,.60672039
1979,51,Female,.59535789
1980,51,Female,.64361829
1981,51,Female,.64988047
1982,51,Female,.6264872
1983,51,Female,.63010079
1984,51,Female,.6599527
1985,51,Female,.66957331
1986,51,Female,.68015486
1987,51,Female,.72029817
1988,51,Female,.69099003
1989,51,Female,.71552306
1990,51,Female,.72885114
1991,51,Female,.73216331
1992,51,Female,.74375021
1993,51,Female,.73263913
1994,51,Female,.73816025
1995,51,Female,.76742005
1996,51,Female,.77795076
1997,51,Female,.75860327
1998,51,Female,.76954687
1999,51,Female,.76646316
2000,51,Female,.7740345
2001,51,Female,.7788651
2002,51,Female,.77313495
2003,51,Female,.75031132
2004,51,Female,.75602156
2005,51,Female,.74817109
2006,51,Female,.74692613
2007,51,Female,.74525994
2008,51,Female,.75267172
2009,51,Female,.7420333
2010,51,Female,.73912996
2011,51,Female,.7259295
2012,51,Female,.70605087
2013,51,Female,.75924909
2014,51,Female,.7277844
2015,51,Female,.7412383
2016,51,Female,.74387884
1961,52,Male,.66035473
1962,52,Male,.62523293
1963,52,Male,.91238314
1964,52,Male,.89038253
1965,52,Male,.93874615
1966,52,Male,.94553047
1967,52,Male,.9355613
1968,52,Male,.96284389
1969,52,Male,.94990158
1970,52,Male,.93642324
1971,52,Male,.92848343
1972,52,Male,.93840069
1973,52,Male,.91391629
1974,52,Male,.9046976
1975,52,Male,.90100527
1976,52,Male,.89875168
1977,52,Male,.89704782
1978,52,Male,.91687304
1979,52,Male,.88868397
1980,52,Male,.9075644
1981,52,Male,.90609878
1982,52,Male,.86565423
1983,52,Male,.8669852
1984,52,Male,.88061798
1985,52,Male,.89347398
1986,52,Male,.90739548
1987,52,Male,.89450252
1988,52,Male,.90051031
1989,52,Male,.88022393
1990,52,Male,.90686375
1991,52,Male,.89318609
1992,52,Male,.86446667
1993,52,Male,.87906486
1994,52,Male,.87577426
1995,52,Male,.87591815
1996,52,Male,.88324404
1997,52,Male,.864712
1998,52,Male,.85435086
1999,52,Male,.8705579
2000,52,Male,.86490941
2001,52,Male,.86411959
2002,52,Male,.86250705
2003,52,Male,.8558079
2004,52,Male,.85245299
2005,52,Male,.87000167
2006,52,Male,.86927521
2007,52,Male,.84644908
2008,52,Male,.87284845
2009,52,Male,.8301056
2010,52,Male,.8166905
2011,52,Male,.81677377
2012,52,Male,.8044278
2013,52,Male,.81204277
2014,52,Male,.84374857
2015,52,Male,.85942125
2016,52,Male,.83281839
1961,52,Female,.38332388
1962,52,Female,.35644218
1963,52,Female,.52844244
1964,52,Female,.5178721
1965,52,Female,.55793613
1966,52,Female,.58077615
1967,52,Female,.60254145
1968,52,Female,.58123553
1969,52,Female,.57635766
1970,52,Female,.58661515
1971,52,Female,.59998763
1972,52,Female,.55520475
1973,52,Female,.6080187
1974,52,Female,.57688552
1975,52,Female,.57045782
1976,52,Female,.56586432
1977,52,Female,.5924347
1978,52,Female,.56671184
1979,52,Female,.58670628
1980,52,Female,.60117882
1981,52,Female,.62125355
1982,52,Female,.60565066
1983,52,Female,.62563932
1984,52,Female,.64549893
1985,52,Female,.63206983
1986,52,Female,.66310483
1987,52,Female,.64165199
1988,52,Female,.72252196
1989,52,Female,.68967193
1990,52,Female,.71632564
1991,52,Female,.71570879
1992,52,Female,.74662006
1993,52,Female,.74266601
1994,52,Female,.7559377
1995,52,Female,.72717297
1996,52,Female,.75782967
1997,52,Female,.75546885
1998,52,Female,.75755453
1999,52,Female,.79940826
2000,52,Female,.75929934
2001,52,Female,.7635591
2002,52,Female,.75550264
2003,52,Female,.77900207
2004,52,Female,.73944932
2005,52,Female,.75191641
2006,52,Female,.75221187
2007,52,Female,.75638044
2008,52,Female,.75150442
2009,52,Female,.75068247
2010,52,Female,.70629531
2011,52,Female,.7425189
2012,52,Female,.73064607
2013,52,Female,.7250762
2014,52,Female,.74325776
2015,52,Female,.70004213
2016,52,Female,.72338009
1961,53,Male,.67043698
1962,53,Male,.63101023
1963,53,Male,.88819885
1964,53,Male,.91582239
1965,53,Male,.94395095
1966,53,Male,.94840646
1967,53,Male,.95407087
1968,53,Male,.94765586
1969,53,Male,.94303942
1970,53,Male,.94002259
1971,53,Male,.92025614
1972,53,Male,.91703087
1973,53,Male,.90779155
1974,53,Male,.88884813
1975,53,Male,.89192379
1976,53,Male,.89021468
1977,53,Male,.87917668
1978,53,Male,.87637323
1979,53,Male,.89464009
1980,53,Male,.88874018
1981,53,Male,.89161557
1982,53,Male,.86245221
1983,53,Male,.87064916
1984,53,Male,.8596614
1985,53,Male,.87802905
1986,53,Male,.90272552
1987,53,Male,.8950724
1988,53,Male,.86098331
1989,53,Male,.87342763
1990,53,Male,.84609061
1991,53,Male,.88426942
1992,53,Male,.8656342
1993,53,Male,.86220413
1994,53,Male,.86699295
1995,53,Male,.84204996
1996,53,Male,.88812101
1997,53,Male,.8970421
1998,53,Male,.85754961
1999,53,Male,.88475084
2000,53,Male,.87367231
2001,53,Male,.84985083
2002,53,Male,.85733169
2003,53,Male,.8431102
2004,53,Male,.86094415
2005,53,Male,.83034527
2006,53,Male,.84146613
2007,53,Male,.85582489
2008,53,Male,.84377962
2009,53,Male,.85656685
2010,53,Male,.81446683
2011,53,Male,.80473334
2012,53,Male,.82338452
2013,53,Male,.83030182
2014,53,Male,.81566262
2015,53,Male,.82786041
2016,53,Male,.82818508
1961,53,Female,.36044508
1962,53,Female,.39446956
1963,53,Female,.58968866
1964,53,Female,.5326823
1965,53,Female,.56837922
1966,53,Female,.55935371
1967,53,Female,.58271879
1968,53,Female,.58216923
1969,53,Female,.57715565
1970,53,Female,.5524686
1971,53,Female,.58346713
